#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
Leonardo			#Leonardo Bravo
Malinaltepec			#Malinaltepec
Mártir				#Mártir de Cuilapan
Cuilapan			#Mártir de Cuilapan
Metlatónoc			#Metlatónoc
Mochitlán			#Mochitlán
Olinalá				#Olinalá
Ometepec			#Ometepec
Ascencio			#Pedro Ascencio Alquisiras
Alquisiras			#Pedro Ascencio Alquisiras
Petatlán			#Petatlán
Pilcaya				#Pilcaya
Pungarabato			#Pungarabato
Quechultenango			#Quechultenango
Acatlán				#San Luis Acatlán
Marcos				#San Marcos
Totolapan			#San Miguel Totolapan
Taxco				#Taxco de Alarcón
Alarcón				#Taxco de Alarcón
Tecoanapa			#Tecoanapa
Técpan				#Técpan de Galeana
Teloloapan			#Teloloapan
Tepecoacuilco			#Tepecoacuilco de Trujano
Trujano				#Tepecoacuilco de Trujano
Tetipac				#Tetipac
Tixtla				#Tixtla de Guerrero
Tlacoachistlahuaca		#Tlacoachistlahuaca
Tlacoapa			#Tlacoapa
Tlalchapa			#Tlalchapa
Tlalixtaquilla			#Tlalixtaquilla de Maldonado
Maldonado			#Tlalixtaquilla de Maldonado
Tlapa				#Tlapa de Comonfort
Comonfort			#Tlapa de Comonfort
Tlapehuala			#Tlapehuala
Isidoro				#La Unión de Isidoro Montes de Oca
Montes				#La Unión de Isidoro Montes de Oca
Oca				#La Unión de Isidoro Montes de Oca
Xalpatláhuac			#Xalpatláhuac
Xochihuehuetlán			#Xochihuehuetlán
Xochistlahuaca			#Xochistlahuaca
Zapotitlán			#Zapotitlán Tablas
Tablas				#Zapotitlán Tablas
Zirándaro			#Zirándaro
Zitlala				#Zitlala
Eduardo				#Eduardo Neri
Neri				#Eduardo Neri
Acatepec			#Acatepec
Marquelia			#Marquelia
Cochoapa			#Cochoapa el Grande
Herrera				#José Joaquín de Herrera
Juchitán			#Juchitán
Iliatenco			#Iliatenco

#
# [13] Hidalgo
#

Acatlán				#Acatlán
Acaxochitlán			#Acaxochitlán
Actopan				#Actopan
Iturbide			#Agua Blanca de Iturbide
Ajacuba				#Ajacuba
Alfajayucan			#Alfajayucan
Almoloya			#Almoloya
Apan				#Apan
Arenal				#El Arenal
Atitalaquia			#Atitalaquia
Atlapexco			#Atlapexco
Atotonilco			#Atotonilco el Grande
Tula				#Atotonilco de Tula
Calnali				#Calnali
Cardonal			#Cardonal
Cuautepec			#Cuautepec de Hinojosa
